serverguid,guid,oscaption,osversion,osarchitecture,apps,fuzzy_hash,fuzzy_hash_without_apps,sim_hash,sim_hash_without_apps
f6817274-6bf9-11ee-9bd5-000c29e74303,6abcee36-e4f8-4887-a11c-a85b340bafd5,Microsoft Windows 10 Home,10.0.19043,64비트,StellarProtect|StellarProtect|TXOne|카카오톡|카카오톡|Kakao Corp.,333a5247584b526a794d314b387679524f6377536d4a4b4e692b6a4e69354967694a6e566e356a3a7a6a3168364f63666d6b4e69384e6935774a6e56356a,333a5247584b526a794d314b387679524f6377643a7a6a3168364f636f,1742735849065209452,13560078189924366180
f6817274-6bf9-11ee-9bd5-000c29e74303,8e9ac1cf-dbb1-4f16-a2e4-d524b6027e0c,Microsoft Windows 10 Home,10.0.19045,64비트,"Npcap|Npcap|Nmap Project|StellarProtect|StellarProtect|TXOne|Wireshark 4.0.10 64-bit|Wireshark 4.0.10 64-bit|The Wireshark developer community, https://www.wireshark.org",363a7a6a3168774253317664556f4e69384e69353979697a5a6969656b4d78474c5758433a7a78324253746c3339695a79507653,333a5247584b526a794d314b3876795477643a7a6a3168776f,4574064563726534472,3747869280698676577
f6817274-6bf9-11ee-9bd5-000c29e74303,d41376a6-ac99-4621-91b4-a514e6388be5,Microsoft Windows 7 Professional K ,6.1.7601,32-bit,StellarProtect|StellarProtect|TXOne,333a5247584b526a794d314b3650586b4c5167555455443275414a4b4e692b6a4e693549303a7a6a3158303067557332755a4e69384e69356e,333a5247584b526a794d314b3650586b4c51675554554432523a7a6a315830306755733252,6660323933558720300,2101502553970500012
