serverguid,guid,cpuname,oscaption,osversion,cpucaption,osarchitecture,cpuarchitecture,apps,fuzzy_hash,fuzzy_hash_without_apps
6d6c99d2-e8c8-11ed-b8a2-005056ac03dd,2b49bea4-a483-48d7-81bd-3da918e20c28,,Microsoft Windows 10 Enterprise LTSC,10.0.19044,,64-Bit,,"Indel Development Tools 19.7.0.3613.7153|Indel Development Tools 19.7.0.3613.7153|Indel AG|MySQL Server 5.7|MySQL Server 5.7|Oracle Corporation|Sentinel Runtime|Sentinel Runtime|Thales|Adobe Acrobat Reader MUI|Adobe Acrobat Reader MUI|Adobe Systems Incorporated|Deployment Solution Agent|Deployment Solution Agent|Symantec|MySQL Installer - Community|MySQL Installer - Community|Oracle Corporation|Altiris Inventory Agent|Altiris Inventory Agent|Symantec Corporation|Patch Management Agent|Patch Management Agent|Symantec|Acronis Cyber Backup|Acronis Cyber Backup|Acronis|Trend Micro OfficeScan Agent|Trend Micro OfficeScan Agent|Trend Micro Inc.|StellarProtect|StellarProtect|TXOne|Windows Driver Package - Indel AG, Switzerland. (indelpcie-drv) Multifunction  (04/14/2016 7.0.1.002)|Windows Driver Package - Indel AG, Switzerland. (indelpcie-drv) Multifunction  (04/14/2016 7.0.1.002)|Indel AG, Switzerland.|VMware Tools|VMware Tools|VMware, Inc.|7-Zip 22.01 (x64 edition)|7-Zip 22.01 (x64 edition)|Igor Pavlov|Greenshot 1.2.9.129|Greenshot 1.2.9.129|Greenshot|Notepad++ (32-bit x86)|Notepad++ (32-bit x86)|Notepad++ Team|UltraVNC|UltraVNC|uvnc bvba|Google Chrome|Google Chrome|Google LLC|Software Management Solution Plugin|Software Management Solution Plugin|Altiris Inc.",32343a57782b786779576b416e41524a6568443251585a4f62634c64766b64766233345864585648324f57566e4866756375643a576176416e414d31585a396b396233347464324f57566e2f75637564,333a6b4f596a794d314b38764f6d744d5741547842614e6974527831696e3a576a31684f434d57735465697455
6d6c99d2-e8c8-11ed-b8a2-005056ac03dd,9c64fbed-b124-4415-8073-37db6ca8d407,,Microsoft Windows 10 Enterprise LTSC,10.0.19044,,64-Bit,,"MySQL Server 5.7|MySQL Server 5.7|Oracle Corporation|MySQL Installer - Community|MySQL Installer - Community|Oracle Corporation|Software Management Solution Plugin|Software Management Solution Plugin|Altiris Inc.|UltraVNC|UltraVNC|uvnc bvba|Patch Management Agent|Patch Management Agent|Symantec|VMware Tools|VMware Tools|VMware, Inc.|7-Zip 22.01 (x64 edition)|7-Zip 22.01 (x64 edition)|Igor Pavlov|StellarProtect|StellarProtect|TXOne|Altiris Inventory Agent|Altiris Inventory Agent|Symantec Corporation|Adobe Acrobat Reader MUI|Adobe Acrobat Reader MUI|Adobe Systems Incorporated|Acronis Cyber Backup|Acronis Cyber Backup|Acronis|Notepad++ (32-bit x86)|Notepad++ (32-bit x86)|Notepad++ Team|Trend Micro OfficeScan Agent|Trend Micro OfficeScan Agent|Trend Micro Inc.|Deployment Solution Agent|Deployment Solution Agent|Symantec|Google Chrome|Google Chrome|Google LLC|Greenshot 1.2.9.129|Greenshot 1.2.9.129|Greenshot|Indel Development Tools 19.7.0.3613.7153|Indel Development Tools 19.7.0.3613.7153|Indel AG|Windows Driver Package - Indel AG, Switzerland. (indelpcie-drv) Multifunction  (04/14/2016 7.0.1.002)|Windows Driver Package - Indel AG, Switzerland. (indelpcie-drv) Multifunction  (04/14/2016 7.0.1.002)|Indel AG, Switzerland.|Sentinel Runtime|Sentinel Runtime|Thales",32343a57782b5667785875756375455552786263464f575833594278416e41523264766b647668656861395864585648706e3a577a5875756375455552434f57583338416e4138396b3948397464706e,333a6b4f596a794d314b38764f6d744d5741547842614e6974527831696e3a576a31684f434d57735465697455
6d6c99d2-e8c8-11ed-b8a2-005056ac03dd,aaa1c104-e8a2-4e1b-b283-f2eeb6b941fc,,Microsoft Windows 10 Enterprise LTSC,10.0.19044,,64-Bit,,"Greenshot|Greenshot|Greenshot|StellarProtect|StellarProtect|TXOne|Notepad++ (32-bit x86)|Notepad++ (32-bit x86)|Notepad++ Team|UltraVNC|UltraVNC|uvnc bvba|VMware Tools|VMware Tools|VMware, Inc.|Acronis Cyber Protect|Acronis Cyber Protect|Acronis|Deployment Solution Agent|Deployment Solution Agent|Symantec|Altiris Inventory Agent|Altiris Inventory Agent|Symantec Corporation|Software Management Solution Plugin|Software Management Solution Plugin|Altiris Inc.|Trend Micro OfficeScan Agent|Trend Micro OfficeScan Agent|Trend Micro Inc.|Patch Management Agent|Patch Management Agent|Symantec|Adobe Acrobat Reader MUI|Adobe Acrobat Reader MUI|Adobe Systems Incorporated|7-Zip 23.01 (x64 edition)|7-Zip 23.01 (x64 edition)|Igor Pavlov|Google Chrome|Google Chrome|Google LLC",32343a57782b336b3330364f57706568526b7563757164766b647644626333416e41524a3a57583330364f576c75637571396b3953416e416e,333a6b4f596a794d314b38764f6d744d5741547842614e6974527831696e3a576a31684f434d57735465697455
6d6c99d2-e8c8-11ed-b8a2-005056ac03dd,be6e8a75-3d77-4464-b707-e5a52adf9ae3,,Microsoft Windows 7 Professional ,6.1.7601,,64-Bit,,"UltraVNC|UltraVNC|uvnc bvba|UC232A_Win 7_64bit|UC232A_Win 7_64bit|Aten International Co., Ltd.|Realtek High Definition Audio Driver|Realtek High Definition Audio Driver|Realtek Semiconductor Corp.|Altiris Application Metering Agent|Altiris Application Metering Agent|Symantec Corporation|Patch Management Agent|Patch Management Agent|Symantec|Intel(R) Processor Graphics|Intel(R) Processor Graphics|Intel Corporation|7-Zip 19.00 (x64 edition)|7-Zip 19.00 (x64 edition)|Igor Pavlov|Power Scheme Plug-in Setup|Power Scheme Plug-in Setup|Altiris|Software Management Solution Plugin|Software Management Solution Plugin|Altiris Inc.|Altiris Inventory Agent|Altiris Inventory Agent|Symantec Corporation|Acronis Cyber Backup|Acronis Cyber Backup|Acronis|IDS uEye|IDS uEye|IDS Imaging Development Systems GmbH|testXpert III - V1.2|testXpert III - V1.2|Zwick GmbH & Co.|PDFCreator|PDFCreator|PDFForge|Notepad++|Notepad++|Notepad++ Team|Atlantic driver (64 bit)|Atlantic driver (64 bit)|Aquantia|StellarProtect|StellarProtect|TXOne|Adobe Acrobat Reader DC MUI|Adobe Acrobat Reader DC MUI|Adobe Systems Incorporated|Sysinternals BgInfo|Sysinternals BgInfo|<no manufacturer>|Deployment Solution Agent|Deployment Solution Agent|Symantec",32343a577844596d763765376b317a4f62633139426f5739426f6f4b77514b77717563757649677a467a5657346e3379414b414d6e6e397276304f686568763a5768596d6a3158426f4f426f3177747771756375506845346e3379414b413447,333a6b4f596a794d314b3650586b4c51676a3477487831696e3a576a31583030677342
6d6c99d2-e8c8-11ed-b8a2-005056ac03dd,da380727-2104-430b-8d4d-22c3e7dda4a0,,Microsoft Windows 10 Enterprise LTSC,10.0.19044,,64-Bit,,"Acronis Cyber Backup|Acronis Cyber Backup|Acronis|Google Chrome|Google Chrome|Google LLC|MySQL Installer - Community|MySQL Installer - Community|Oracle Corporation|Altiris Inventory Agent|Altiris Inventory Agent|Symantec Corporation|Adobe Acrobat Reader MUI|Adobe Acrobat Reader MUI|Adobe Systems Incorporated|VMware Tools|VMware Tools|VMware, Inc.|MySQL Server 5.7|MySQL Server 5.7|Oracle Corporation|7-Zip 22.01 (x64 edition)|7-Zip 22.01 (x64 edition)|Igor Pavlov|StellarProtect|StellarProtect|TXOne|Software Management Solution Plugin|Software Management Solution Plugin|Altiris Inc.|Sentinel Runtime|Sentinel Runtime|Thales|Notepad++ (32-bit x86)|Notepad++ (32-bit x86)|Notepad++ Team|Indel Development Tools 19.7.0.3613.7153|Indel Development Tools 19.7.0.3613.7153|Indel AG|Windows Driver Package - Indel AG, Switzerland. (indelpcie-drv) Multifunction  (04/14/2016 7.0.1.002)|Windows Driver Package - Indel AG, Switzerland. (indelpcie-drv) Multifunction  (04/14/2016 7.0.1.002)|Indel AG, Switzerland.|Patch Management Agent|Patch Management Agent|Symantec|UltraVNC|UltraVNC|uvnc bvba|Greenshot 1.2.9.129|Greenshot 1.2.9.129|Greenshot|Deployment Solution Agent|Deployment Solution Agent|Symantec",32343a57782b48585a78416e4152514f574d674e335075637567355864585648364c34626348576568763a57555848416e41754f572f335075637567357464364c6878,333a6b4f596a794d314b38764f6d744d5741547842614e6974527831696e3a576a31684f434d57735465697455
6d6c99d2-e8c8-11ed-b8a2-005056ac03dd,efa11336-0b62-4dcd-acea-27d208867a13,,Microsoft Windows 10 Enterprise LTSC,10.0.19044,,64-Bit,,"Adobe Acrobat Reader MUI|Adobe Acrobat Reader MUI|Adobe Systems Incorporated|Altiris Inventory Agent|Altiris Inventory Agent|Symantec Corporation|Software Management Solution Plugin|Software Management Solution Plugin|Altiris Inc.|UltraVNC|UltraVNC|uvnc bvba|Patch Management Agent|Patch Management Agent|Symantec|VMware Tools|VMware Tools|VMware, Inc.|Notepad++ (32-bit x86)|Notepad++ (32-bit x86)|Notepad++ Team|Greenshot|Greenshot|Greenshot|Acronis Cyber Protect|Acronis Cyber Protect|Acronis|Deployment Solution Agent|Deployment Solution Agent|Symantec|StellarProtect|StellarProtect|TXOne|7-Zip 23.01 (x64 edition)|7-Zip 23.01 (x64 edition)|Igor Pavlov|Google Chrome|Google Chrome|Google LLC",31323a577873433836346f764166764152306b7563753074555278444863464f577553386a6e6f6e556c496a6c683633724f71563a57782b6d416e4152306b756375455552786263464f577542656836335a,333a6b4f596a794d314b38764f6d744d5741547842614e6974527831696e3a576a31684f434d57735465697455
