serverguid                           ,guid                                 ,oscaption                            ,osversion  ,osarchitecture ,corr_sim_hash ,corr_sim_hash_without_apps ,corr_fuzzy_hash ,corr_fuzzy_hash_without_apps ,apps
5f68af58-5ba9-11ed-8a60-005056b74c5e ,2610b567-fe1c-4a0d-b220-f989a110ce0b ,Microsoft Windows Embedded Standard  ,6.1.7601   ,32-bit         ,     0.875    ,                  1.0      ,             99 ,                         100 ,"Aloha TakeOut|Aloha TakeOut|Radiant Systems|AuthenTec Fingerprint Software|AuthenTec Fingerprint Software|AuthenTec, Inc.|Elo Touchscreen Driver 5.4.9|Elo Touchscreen Driver 5.4.9|Elo TouchSystems|Intel(R) Network Connections|Intel(R) Network Connections|Intel|Intel(R) Network Connections 18.1.59.0|Intel(R) Network Connections 18.1.59.0|Intel|Intel(R) Processor Graphics|Intel(R) Processor Graphics|Intel Corporation|Intel(R) SDK for OpenCL - CPU Only Runtime Package|Intel(R) SDK for OpenCL - CPU Only Runtime Package|Intel Corporation|Radiant Biometric Runtime -  v1.06.03.0|Radiant Biometric Runtime -  v1.06.03.0|Radiant Systems, Inc|Realtek High Definition Audio Driver|Realtek High Definition Audio Driver|Realtek Semiconductor Corp.|StellarProtect|StellarProtect|TXOne|TightVNC|TightVNC|GlavSoft LLC.|Toshiba UnifiedPOS for Windows|Toshiba UnifiedPOS for Windows|Toshiba"
5f68af58-5ba9-11ed-8a60-005056b74c5e ,58ba883f-f80d-4004-9c8d-77266e9e5bd1 ,Microsoft Windows Embedded Standard  ,6.1.7601   ,32-bit         ,     0.875    ,                  1.0      ,             99 ,                         100 ,"Aloha TakeOut|Aloha TakeOut|Radiant Systems|AuthenTec Fingerprint Software|AuthenTec Fingerprint Software|AuthenTec, Inc.|Elo Touchscreen Driver 5.4.9|Elo Touchscreen Driver 5.4.9|Elo TouchSystems|Intel(R) Network Connections|Intel(R) Network Connections|Intel|Intel(R) Network Connections 18.1.59.0|Intel(R) Network Connections 18.1.59.0|Intel|Intel(R) Processor Graphics|Intel(R) Processor Graphics|Intel Corporation|Intel(R) SDK for OpenCL - CPU Only Runtime Package|Intel(R) SDK for OpenCL - CPU Only Runtime Package|Intel Corporation|Radiant Biometric Runtime -  v1.06.03.0|Radiant Biometric Runtime -  v1.06.03.0|Radiant Systems, Inc|Realtek High Definition Audio Driver|Realtek High Definition Audio Driver|Realtek Semiconductor Corp.|StellarProtect|StellarProtect|TXOne|TightVNC|TightVNC|GlavSoft LLC.|Toshiba UnifiedPOS for Windows|Toshiba UnifiedPOS for Windows|Toshiba"
5f68af58-5ba9-11ed-8a60-005056b74c5e ,5adafc31-6b40-463c-b410-d227cf804c04 ,Microsoft Windows Embedded Standard  ,6.1.7601   ,32-bit         ,     0.875    ,                  1.0      ,             99 ,                         100 ,"Aloha TakeOut|Aloha TakeOut|Radiant Systems|AuthenTec Fingerprint Software|AuthenTec Fingerprint Software|AuthenTec, Inc.|Elo Touchscreen Driver 5.4.9|Elo Touchscreen Driver 5.4.9|Elo TouchSystems|Intel(R) Network Connections|Intel(R) Network Connections|Intel|Intel(R) Network Connections 18.1.59.0|Intel(R) Network Connections 18.1.59.0|Intel|Intel(R) Processor Graphics|Intel(R) Processor Graphics|Intel Corporation|Intel(R) SDK for OpenCL - CPU Only Runtime Package|Intel(R) SDK for OpenCL - CPU Only Runtime Package|Intel Corporation|Radiant Biometric Runtime -  v1.06.03.0|Radiant Biometric Runtime -  v1.06.03.0|Radiant Systems, Inc|Realtek High Definition Audio Driver|Realtek High Definition Audio Driver|Realtek Semiconductor Corp.|StellarProtect|StellarProtect|TXOne|TightVNC|TightVNC|GlavSoft LLC.|Toshiba UnifiedPOS for Windows|Toshiba UnifiedPOS for Windows|Toshiba"
5f68af58-5ba9-11ed-8a60-005056b74c5e ,7bc4b4f7-f132-499e-aeee-324f61160475 ,Microsoft Windows Embedded Standard  ,6.1.7601   ,32-bit         ,     0.875    ,                  1.0      ,             99 ,                         100 ,"Aloha TakeOut|Aloha TakeOut|Radiant Systems|AuthenTec Fingerprint Software|AuthenTec Fingerprint Software|AuthenTec, Inc.|Elo Touchscreen Driver 5.4.9|Elo Touchscreen Driver 5.4.9|Elo TouchSystems|Intel(R) Network Connections|Intel(R) Network Connections|Intel|Intel(R) Network Connections 18.1.59.0|Intel(R) Network Connections 18.1.59.0|Intel|Intel(R) Processor Graphics|Intel(R) Processor Graphics|Intel Corporation|Intel(R) SDK for OpenCL - CPU Only Runtime Package|Intel(R) SDK for OpenCL - CPU Only Runtime Package|Intel Corporation|Radiant Biometric Runtime -  v1.06.03.0|Radiant Biometric Runtime -  v1.06.03.0|Radiant Systems, Inc|Realtek High Definition Audio Driver|Realtek High Definition Audio Driver|Realtek Semiconductor Corp.|StellarProtect|StellarProtect|TXOne|TightVNC|TightVNC|GlavSoft LLC.|Toshiba UnifiedPOS for Windows|Toshiba UnifiedPOS for Windows|Toshiba"
5f68af58-5ba9-11ed-8a60-005056b74c5e ,87a88b97-8c4b-44b2-81fe-edc625cf88df ,Microsoft Windows Embedded Standard  ,6.1.7601   ,32-bit         ,     0.875    ,                  1.0      ,             99 ,                         100 ,"Aloha TakeOut|Aloha TakeOut|Radiant Systems|AuthenTec Fingerprint Software|AuthenTec Fingerprint Software|AuthenTec, Inc.|Elo Touchscreen Driver 5.4.9|Elo Touchscreen Driver 5.4.9|Elo TouchSystems|Intel(R) Network Connections|Intel(R) Network Connections|Intel|Intel(R) Network Connections 18.1.59.0|Intel(R) Network Connections 18.1.59.0|Intel|Intel(R) Processor Graphics|Intel(R) Processor Graphics|Intel Corporation|Intel(R) SDK for OpenCL - CPU Only Runtime Package|Intel(R) SDK for OpenCL - CPU Only Runtime Package|Intel Corporation|Radiant Biometric Runtime -  v1.06.03.0|Radiant Biometric Runtime -  v1.06.03.0|Radiant Systems, Inc|Realtek High Definition Audio Driver|Realtek High Definition Audio Driver|Realtek Semiconductor Corp.|StellarProtect|StellarProtect|TXOne|TightVNC|TightVNC|GlavSoft LLC.|Toshiba UnifiedPOS for Windows|Toshiba UnifiedPOS for Windows|Toshiba"
5f68af58-5ba9-11ed-8a60-005056b74c5e ,b2950087-d21c-4543-bbe8-12c6d90218e2 ,Microsoft Windows Embedded Standard  ,6.1.7601   ,32-bit         ,     0.875    ,                  1.0      ,             99 ,                         100 ,"Aloha TakeOut|Aloha TakeOut|Radiant Systems|AuthenTec Fingerprint Software|AuthenTec Fingerprint Software|AuthenTec, Inc.|Elo Touchscreen Driver 5.4.9|Elo Touchscreen Driver 5.4.9|Elo TouchSystems|Intel(R) Network Connections|Intel(R) Network Connections|Intel|Intel(R) Network Connections 18.1.59.0|Intel(R) Network Connections 18.1.59.0|Intel|Intel(R) Processor Graphics|Intel(R) Processor Graphics|Intel Corporation|Intel(R) SDK for OpenCL - CPU Only Runtime Package|Intel(R) SDK for OpenCL - CPU Only Runtime Package|Intel Corporation|Radiant Biometric Runtime -  v1.06.03.0|Radiant Biometric Runtime -  v1.06.03.0|Radiant Systems, Inc|Realtek High Definition Audio Driver|Realtek High Definition Audio Driver|Realtek Semiconductor Corp.|StellarProtect|StellarProtect|TXOne|TightVNC|TightVNC|GlavSoft LLC.|Toshiba UnifiedPOS for Windows|Toshiba UnifiedPOS for Windows|Toshiba"
5f68af58-5ba9-11ed-8a60-005056b74c5e ,b5de8a0b-8cb3-4ec4-acfb-5880e90b3f1a ,Microsoft Windows Embedded Standard  ,6.1.7601   ,32-bit         ,     0.875    ,                  1.0      ,             99 ,                         100 ,"Aloha TakeOut|Aloha TakeOut|Radiant Systems|AuthenTec Fingerprint Software|AuthenTec Fingerprint Software|AuthenTec, Inc.|Elo Touchscreen Driver 5.4.9|Elo Touchscreen Driver 5.4.9|Elo TouchSystems|Intel(R) Network Connections|Intel(R) Network Connections|Intel|Intel(R) Network Connections 18.1.59.0|Intel(R) Network Connections 18.1.59.0|Intel|Intel(R) Processor Graphics|Intel(R) Processor Graphics|Intel Corporation|Intel(R) SDK for OpenCL - CPU Only Runtime Package|Intel(R) SDK for OpenCL - CPU Only Runtime Package|Intel Corporation|Radiant Biometric Runtime -  v1.06.03.0|Radiant Biometric Runtime -  v1.06.03.0|Radiant Systems, Inc|Realtek High Definition Audio Driver|Realtek High Definition Audio Driver|Realtek Semiconductor Corp.|StellarProtect|StellarProtect|TXOne|TightVNC|TightVNC|GlavSoft LLC.|Toshiba UnifiedPOS for Windows|Toshiba UnifiedPOS for Windows|Toshiba"
5f68af58-5ba9-11ed-8a60-005056b74c5e ,d76fc968-5399-4088-ae65-4087e6e35489 ,Microsoft Windows Embedded Standard  ,6.1.7601   ,32-bit         ,     0.875    ,                  1.0      ,             99 ,                         100 ,"Aloha TakeOut|Aloha TakeOut|Radiant Systems|AuthenTec Fingerprint Software|AuthenTec Fingerprint Software|AuthenTec, Inc.|Elo Touchscreen Driver 5.4.9|Elo Touchscreen Driver 5.4.9|Elo TouchSystems|Intel(R) Network Connections|Intel(R) Network Connections|Intel|Intel(R) Network Connections 18.1.59.0|Intel(R) Network Connections 18.1.59.0|Intel|Intel(R) Processor Graphics|Intel(R) Processor Graphics|Intel Corporation|Intel(R) SDK for OpenCL - CPU Only Runtime Package|Intel(R) SDK for OpenCL - CPU Only Runtime Package|Intel Corporation|Radiant Biometric Runtime -  v1.06.03.0|Radiant Biometric Runtime -  v1.06.03.0|Radiant Systems, Inc|Realtek High Definition Audio Driver|Realtek High Definition Audio Driver|Realtek Semiconductor Corp.|StellarProtect|StellarProtect|TXOne|TightVNC|TightVNC|GlavSoft LLC.|Toshiba UnifiedPOS for Windows|Toshiba UnifiedPOS for Windows|Toshiba"
5f68af58-5ba9-11ed-8a60-005056b74c5e ,f7b66ac1-ff54-4aad-a7b1-d25081dd2dba ,Microsoft Windows Embedded Standard  ,6.1.7601   ,32-bit         ,     0.875    ,                  1.0      ,             99 ,                         100 ,"Aloha TakeOut|Aloha TakeOut|Radiant Systems|AuthenTec Fingerprint Software|AuthenTec Fingerprint Software|AuthenTec, Inc.|Elo Touchscreen Driver 5.4.9|Elo Touchscreen Driver 5.4.9|Elo TouchSystems|Intel(R) Network Connections|Intel(R) Network Connections|Intel|Intel(R) Network Connections 18.1.59.0|Intel(R) Network Connections 18.1.59.0|Intel|Intel(R) Processor Graphics|Intel(R) Processor Graphics|Intel Corporation|Intel(R) SDK for OpenCL - CPU Only Runtime Package|Intel(R) SDK for OpenCL - CPU Only Runtime Package|Intel Corporation|Radiant Biometric Runtime -  v1.06.03.0|Radiant Biometric Runtime -  v1.06.03.0|Radiant Systems, Inc|Realtek High Definition Audio Driver|Realtek High Definition Audio Driver|Realtek Semiconductor Corp.|StellarProtect|StellarProtect|TXOne|TightVNC|TightVNC|GlavSoft LLC.|Toshiba UnifiedPOS for Windows|Toshiba UnifiedPOS for Windows|Toshiba"
5f68af58-5ba9-11ed-8a60-005056b74c5e ,f8d78bd5-eb88-4ffe-b538-58ffbdc0ca35 ,Microsoft Windows Embedded Standard  ,6.1.7601   ,32-bit         ,     0.875    ,                  1.0      ,             99 ,                         100 ,"Aloha TakeOut|Aloha TakeOut|Radiant Systems|AuthenTec Fingerprint Software|AuthenTec Fingerprint Software|AuthenTec, Inc.|Elo Touchscreen Driver 5.4.9|Elo Touchscreen Driver 5.4.9|Elo TouchSystems|Intel(R) Network Connections|Intel(R) Network Connections|Intel|Intel(R) Network Connections 18.1.59.0|Intel(R) Network Connections 18.1.59.0|Intel|Intel(R) Processor Graphics|Intel(R) Processor Graphics|Intel Corporation|Intel(R) SDK for OpenCL - CPU Only Runtime Package|Intel(R) SDK for OpenCL - CPU Only Runtime Package|Intel Corporation|Radiant Biometric Runtime -  v1.06.03.0|Radiant Biometric Runtime -  v1.06.03.0|Radiant Systems, Inc|Realtek High Definition Audio Driver|Realtek High Definition Audio Driver|Realtek Semiconductor Corp.|StellarProtect|StellarProtect|TXOne|TightVNC|TightVNC|GlavSoft LLC.|Toshiba UnifiedPOS for Windows|Toshiba UnifiedPOS for Windows|Toshiba"
