serverguid,guid,cpuname,oscaption,osversion,cpucaption,osarchitecture,cpuarchitecture,apps,fuzzy_hash,fuzzy_hash_without_apps
0f6abca8-3ac9-11ee-a82b-000c29a0e1da,5e07d874-8e04-46f1-b92e-947a0f1252a5,,Microsoft Windows 7 Professional K ,6.1.7601,,32-bit,,StellarProtect|StellarProtect|TXOne,333a6b4f596a794d314b3650586b4c5167555455447758486c32734b4e692b6a4e693549303a576a31583030675573745a4e69384e69356e,333a6b4f596a794d314b3650586b4c5167555455447758486a3a576a315830306755736b
0f6abca8-3ac9-11ee-a82b-000c29a0e1da,82a06f81-8119-4044-9d66-6e66c4ac048b,,Microsoft Windows 7 Professional K ,6.1.7601,,32-bit,,StellarProtect|StellarProtect|TXOne,333a6b4f596a794d314b3650586b4c5167555455447758486c32734b4e692b6a4e693549303a576a31583030675573745a4e69384e69356e,333a6b4f596a794d314b3650586b4c5167555455447758486a3a576a315830306755736b
0f6abca8-3ac9-11ee-a82b-000c29a0e1da,e3bc44cd-acf1-40e0-beca-b9247d4061d5,,Microsoft Windows 7 Professional K ,6.1.7601,,32-bit,,OPC Core Components Redistributable (x86) 101.2|OPC Core Components Redistributable (x86) 101.2|OPC Foundation|OPC UA SDK 1.1 Redistributables 331.0|OPC UA SDK 1.1 Redistributables 331.0|OPC Foundation|StellarProtect|StellarProtect|TXOne|IGSS32 10.0|IGSS32 10.0|7-Technologies A/S|OPC Factory Server v3.40|OPC Factory Server v3.40|Schneider Electric Industries SAS,363a576a315830306755737341556967504e374d6a4441556967504e374d6a38754f5544754f55374e69384e693564526273734461505761506e567055726e3a5778334c664e69634f4e6963425539553733385262737344735773567061,333a6b4f596a794d314b3650586b4c5167555455447758486a3a576a315830306755736b
