serverguid,guid,oscaption,osversion,osarchitecture,apps,fuzzy_hash,fuzzy_hash_without_apps,sim_hash,sim_hash_without_apps
415f05d4-db01-11ed-ab1f-000c29442e56,0fd5e42e-9dd0-4437-8ee2-a05bc931bb7f,Microsoft Windows 11 Enterprise,10.0.22631,64-Bit,"7-Zip 22.01 (x64)|7-Zip 22.01 (x64)|Igor Pavlov|Check Point SmartConsole R81.20|Check Point SmartConsole R81.20|Check Point Software Technologies Ltd.|DFUDriverSetupX64Setup|DFUDriverSetupX64Setup|GN Netcom A/S|FileZilla 3.64.0|FileZilla 3.64.0|Tim Kosse|GoTo Opener|GoTo Opener|LogMeIn, Inc.|Google Chrome|Google Chrome|Google LLC|JDownloader 2|JDownloader 2|AppWork GmbH|Jabra Direct|Jabra Direct|GN Audio A/S|Logi Tune|Logi Tune|Logitech|Mozilla Firefox (x64 de)|Mozilla Firefox (x64 de)|Mozilla|Mozilla Maintenance Service|Mozilla Maintenance Service|Mozilla|NVIDIA Grafiktreiber 512.15|NVIDIA Grafiktreiber 512.15|NVIDIA Corporation|NVIDIA HD-Audiotreiber 1.3.39.3|NVIDIA HD-Audiotreiber 1.3.39.3|NVIDIA Corporation|NVIDIA Install Application|NVIDIA Install Application|NVIDIA Corporation|NVIDIA Platform Controllers and Framework|NVIDIA Platform Controllers and Framework|NVIDIA Corporation|NVIDIA USBC Driver 1.46.831.832|NVIDIA USBC Driver 1.46.831.832|NVIDIA Corporation|Notepad++ (64-bit x64)|Notepad++ (64-bit x64)|Notepad++ Team|Portable Inspector Scanning Tool Agent|Portable Inspector Scanning Tool Agent|TXOne Networks inc.|PuTTY release 0.78 (64-bit)|PuTTY release 0.78 (64-bit)|Simon Tatham|StellarProtect|StellarProtect|TXOne|TeamViewer|TeamViewer|TeamViewer|VMware Workstation|VMware Workstation|VMware, Inc.|Webex|Webex|Cisco Systems, Inc",32343a7a78506f61657077706a584b6e52443730633967667a686a47485a3571746750616a57687454743042302b3333595a3a7a316f616547695237485a35776a53745474593333595a,333a5247584b526a794d314b38524c434d5741716a3552496e4d526e3a7a6a3150654d576a524852,16106420096093356605,2641408639745859728
415f05d4-db01-11ed-ab1f-000c29442e56,4a4747ee-9ffa-4c51-ac46-0d950583f842,Microsoft Windows 11 Enterprise,10.0.22621,64-Bit,"7-Zip 22.01 (x64)|7-Zip 22.01 (x64)|Igor Pavlov|FileZilla 3.64.0|FileZilla 3.64.0|Tim Kosse|Google Chrome|Google Chrome|Google LLC|JDownloader 2|JDownloader 2|AppWork GmbH|Logi Tune|Logi Tune|Logitech|Logi Tune 3.1.100|Logi Tune 3.1.100|Logitech|Mozilla Firefox (x64 de)|Mozilla Firefox (x64 de)|Mozilla|Mozilla Maintenance Service|Mozilla Maintenance Service|Mozilla|NVIDIA Grafiktreiber 462.59|NVIDIA Grafiktreiber 462.59|NVIDIA Corporation|NVIDIA HD-Audiotreiber 1.3.38.40|NVIDIA HD-Audiotreiber 1.3.38.40|NVIDIA Corporation|NVIDIA Install Application|NVIDIA Install Application|NVIDIA Corporation|NVIDIA Platform Controllers and Framework|NVIDIA Platform Controllers and Framework|NVIDIA Corporation|NVIDIA USBC Driver 1.46.831.832|NVIDIA USBC Driver 1.46.831.832|NVIDIA Corporation|Portable Inspector|Portable Inspector|TXOne Networks inc.|PuTTY release 0.78 (64-bit)|PuTTY release 0.78 (64-bit)|Simon Tatham|StellarProtect|StellarProtect|TXOne|Trend Micro Portable Security 3|Trend Micro Portable Security 3|Trend Micro Inc.|VMware Workstation|VMware Workstation|VMware, Inc.",32343a7a7850335461754b6b5a67664844486b7a4c544c544d35717467507a7a5542302b334e703a7a314461684434544c544d35707a34334e70,333a5247584b526a794d314b38524c434d5741716a45745248526e3a7a6a3150654d57616a4852,9187765129882535485,2717969692750979088
415f05d4-db01-11ed-ab1f-000c29442e56,73aae92c-c148-40f1-a4d0-97a03f257e73,Microsoft Windows 11 Enterprise,10.0.22621,64-Bit,"7-Zip 22.01 (x64)|7-Zip 22.01 (x64)|Igor Pavlov|Check Point SmartConsole R81.20|Check Point SmartConsole R81.20|Check Point Software Technologies Ltd.|DFUDriverSetupX64Setup|DFUDriverSetupX64Setup|GN Netcom A/S|FileZilla 3.64.0|FileZilla 3.64.0|Tim Kosse|GoTo Opener|GoTo Opener|LogMeIn, Inc.|Google Chrome|Google Chrome|Google LLC|JDownloader 2|JDownloader 2|AppWork GmbH|Jabra Direct|Jabra Direct|GN Audio A/S|Logi Tune|Logi Tune|Logitech|Mozilla Firefox (x64 de)|Mozilla Firefox (x64 de)|Mozilla|Mozilla Maintenance Service|Mozilla Maintenance Service|Mozilla|NVIDIA Grafiktreiber 512.15|NVIDIA Grafiktreiber 512.15|NVIDIA Corporation|NVIDIA HD-Audiotreiber 1.3.39.3|NVIDIA HD-Audiotreiber 1.3.39.3|NVIDIA Corporation|NVIDIA Install Application|NVIDIA Install Application|NVIDIA Corporation|NVIDIA Platform Controllers and Framework|NVIDIA Platform Controllers and Framework|NVIDIA Corporation|NVIDIA USBC Driver 1.46.831.832|NVIDIA USBC Driver 1.46.831.832|NVIDIA Corporation|Notepad++ (64-bit x64)|Notepad++ (64-bit x64)|Notepad++ Team|PuTTY release 0.78 (64-bit)|PuTTY release 0.78 (64-bit)|Simon Tatham|StellarProtect|StellarProtect|TXOne|TeamViewer|TeamViewer|TeamViewer|VMware Workstation|VMware Workstation|VMware, Inc.|Webex|Webex|Cisco Systems, Inc",32343a7a7850335461657077706a584b6e52443730633967667a686a47485a3571746750616a5744302b3333595a3a7a3144616547695237485a35776a613333595a,333a5247584b526a794d314b38524c434d5741716a45745248526e3a7a6a3150654d57616a4852,16106983045979670077,2717969692750979088
415f05d4-db01-11ed-ab1f-000c29442e56,88c71259-5720-482a-bcf6-f1ee066bf3c4,Microsoft Windows 11 Enterprise,10.0.22621,64-Bit,"7-Zip 22.01 (x64)|7-Zip 22.01 (x64)|Igor Pavlov|FileZilla 3.64.0|FileZilla 3.64.0|Tim Kosse|Google Chrome|Google Chrome|Google LLC|JDownloader 2|JDownloader 2|AppWork GmbH|Logi Tune|Logi Tune|Logitech|Logi Tune 3.1.100|Logi Tune 3.1.100|Logitech|Mozilla Firefox (x64 de)|Mozilla Firefox (x64 de)|Mozilla|Mozilla Maintenance Service|Mozilla Maintenance Service|Mozilla|NVIDIA Grafiktreiber 462.59|NVIDIA Grafiktreiber 462.59|NVIDIA Corporation|NVIDIA HD-Audiotreiber 1.3.38.40|NVIDIA HD-Audiotreiber 1.3.38.40|NVIDIA Corporation|NVIDIA Install Application|NVIDIA Install Application|NVIDIA Corporation|NVIDIA Platform Controllers and Framework|NVIDIA Platform Controllers and Framework|NVIDIA Corporation|NVIDIA USBC Driver 1.46.831.832|NVIDIA USBC Driver 1.46.831.832|NVIDIA Corporation|Portable Inspector|Portable Inspector|TXOne Networks inc.|PuTTY release 0.78 (64-bit)|PuTTY release 0.78 (64-bit)|Simon Tatham|StellarProtect|StellarProtect|TXOne|Trend Micro Portable Security 3|Trend Micro Portable Security 3|Trend Micro Inc.|VMware Workstation|VMware Workstation|VMware, Inc.|Webex|Webex|Cisco Systems, Inc",32343a7a7850335461754b6b5a67664844486b7a4c544c544d35717467507a7a5542302b334e595a3a7a314461684434544c544d35707a34334e595a,333a5247584b526a794d314b38524c434d5741716a45745248526e3a7a6a3150654d57616a4852,9187765129882535613,2717969692750979088
415f05d4-db01-11ed-ab1f-000c29442e56,b831132a-7d21-434d-9080-2f463982b75a,Microsoft Windows 11 Enterprise,10.0.22621,64-Bit,"7-Zip 22.01 (x64)|7-Zip 22.01 (x64)|Igor Pavlov|Check Point SmartConsole R81.20|Check Point SmartConsole R81.20|Check Point Software Technologies Ltd.|DFUDriverSetupX64Setup|DFUDriverSetupX64Setup|GN Netcom A/S|FileZilla 3.64.0|FileZilla 3.64.0|Tim Kosse|GoTo Opener|GoTo Opener|LogMeIn, Inc.|Google Chrome|Google Chrome|Google LLC|JDownloader 2|JDownloader 2|AppWork GmbH|Jabra Direct|Jabra Direct|GN Audio A/S|Logi Tune|Logi Tune|Logitech|Mozilla Firefox (x64 de)|Mozilla Firefox (x64 de)|Mozilla|Mozilla Maintenance Service|Mozilla Maintenance Service|Mozilla|NVIDIA Grafiktreiber 462.59|NVIDIA Grafiktreiber 462.59|NVIDIA Corporation|NVIDIA Grafiktreiber 512.15|NVIDIA Grafiktreiber 512.15|NVIDIA Corporation|NVIDIA HD-Audiotreiber 1.3.38.40|NVIDIA HD-Audiotreiber 1.3.38.40|NVIDIA Corporation|NVIDIA HD-Audiotreiber 1.3.39.3|NVIDIA HD-Audiotreiber 1.3.39.3|NVIDIA Corporation|NVIDIA Install Application|NVIDIA Install Application|NVIDIA Corporation|NVIDIA Platform Controllers and Framework|NVIDIA Platform Controllers and Framework|NVIDIA Corporation|NVIDIA USBC Driver 1.46.831.832|NVIDIA USBC Driver 1.46.831.832|NVIDIA Corporation|Notepad++ (64-bit x64)|Notepad++ (64-bit x64)|Notepad++ Team|PuTTY release 0.78 (64-bit)|PuTTY release 0.78 (64-bit)|Simon Tatham|StellarProtect|StellarProtect|TXOne|TeamViewer|TeamViewer|TeamViewer|VMware Workstation|VMware Workstation|VMware, Inc.|Webex|Webex|Cisco Systems, Inc",32343a7a7850335461657077706a584b6e52443730633967667a4c544c54556a64485a3571746750616a5744302b3333595a3a7a3144616547695249544c5479485a35776a613333595a,333a5247584b526a794d314b38524c434d5741716a45745248526e3a7a6a3150654d57616a4852,16106983010612774463,2717969692750979088
