serverguid,guid,oscaption,osversion,osarchitecture,apps,fuzzy_hash,fuzzy_hash_without_apps,sim_hash,sim_hash_without_apps
be4dbb04-b427-11ed-9d7c-005056b15a93,1626f9e4-dfda-44d3-9a4e-1b308f83cfb3,Microsoft Windows 11 家庭中文版,10.0.22621,64 位,"7-Zip 22.01 (x64)|7-Zip 22.01 (x64)|Igor Pavlov|AccessClient 4.4.1|AccessClient 4.4.1|New H3C Technologies Co., Ltd.|AnyDesk|AnyDesk|AnyDesk Software GmbH|Dell Digital Delivery Services|Dell Digital Delivery Services|Dell Inc.|Dell Mobile Connect Drivers|Dell Mobile Connect Drivers|Screenovate Technologies Ltd.|Dell Power Manager Service|Dell Power Manager Service|Dell Inc.|Dell SupportAssist|Dell SupportAssist|Dell Inc.|Dell SupportAssist Remediation|Dell SupportAssist Remediation|Dell Inc.|Dell Update - SupportAssist Update Plugin|Dell Update - SupportAssist Update Plugin|Dell Inc.|Dell Update for Windows Universal|Dell Update for Windows Universal|Dell Inc.|Google Chrome|Google Chrome|Google LLC|MindMaster(Build 9.1.2.177)|MindMaster(Build 9.1.2.177)|EdrawSoft Co.,Ltd.|NVAPI Monitor plugin for NvContainer|NVAPI Monitor plugin for NvContainer|NVIDIA Corporation|NVIDIA ABHub|NVIDIA ABHub|NVIDIA Corporation|NVIDIA Backend|NVIDIA Backend|NVIDIA Corporation|NVIDIA Container|NVIDIA Container|NVIDIA Corporation|NVIDIA GeForce Experience 3.19.0.107|NVIDIA GeForce Experience 3.19.0.107|NVIDIA Corporation|NVIDIA Install Application|NVIDIA Install Application|NVIDIA Corporation|NVIDIA LocalSystem Container|NVIDIA LocalSystem Container|NVIDIA Corporation|NVIDIA Message Bus for NvContainer|NVIDIA Message Bus for NvContainer|NVIDIA Corporation|NVIDIA NetworkService Container|NVIDIA NetworkService Container|NVIDIA Corporation|NVIDIA NodeJS|NVIDIA NodeJS|NVIDIA Corporation|NVIDIA SHIELD Streaming|NVIDIA SHIELD Streaming|NVIDIA Corporation|NVIDIA SHIELD Wireless Controller Driver|NVIDIA SHIELD Wireless Controller Driver|NVIDIA Corporation|NVIDIA Session Container|NVIDIA Session Container|NVIDIA Corporation|NVIDIA ShadowPlay 3.19.0.107|NVIDIA ShadowPlay 3.19.0.107|NVIDIA Corporation|NVIDIA Telemetry Client|NVIDIA Telemetry Client|NVIDIA Corporation|NVIDIA Telemetry Container|NVIDIA Telemetry Container|NVIDIA Corporation|NVIDIA TelemetryApi helper for NvContainer|NVIDIA TelemetryApi helper for NvContainer|NVIDIA Corporation|NVIDIA Update Core|NVIDIA Update Core|NVIDIA Corporation|NVIDIA User Container|NVIDIA User Container|NVIDIA Corporation|NVIDIA Virtual Audio 4.13.0.0|NVIDIA Virtual Audio 4.13.0.0|NVIDIA Corporation|NVIDIA Virtual Host Controller|NVIDIA Virtual Host Controller|NVIDIA Corporation|NVIDIA Watchdog Plugin for NvContainer|NVIDIA Watchdog Plugin for NvContainer|NVIDIA Corporation|NVIDIA 图形驱动程序 527.37|NVIDIA 图形驱动程序 527.37|NVIDIA Corporation|Nvidia Share|Nvidia Share|NVIDIA Corporation|Qualcomm 11ac Wireless LAN&Bluetooth Installer|Qualcomm 11ac Wireless LAN&Bluetooth Installer|Qualcomm|Qualcomm Atheros Bluetooth Installer (64)|Qualcomm Atheros Bluetooth Installer (64)|Qualcomm Atheros|Qualcomm Atheros Setup|Qualcomm Atheros Setup|Qualcomm|SmartByte Drivers and Services|SmartByte Drivers and Services|Rivet Networks|StellarProtect|StellarProtect|TXOne|TeamViewer|TeamViewer|TeamViewer|ToDesk|ToDesk|ToDesk Remote Desktop|VMware Workstation|VMware Workstation|VMware, Inc.|WinRAR 6.11 (64-位)|WinRAR 6.11 (64-位)|win.rar GmbH|aurora 3.0.5|aurora 3.0.5|aurora, Inc.|卸载 橙瓜码字|卸载 橙瓜码字|chenggua|向日葵|向日葵|上海贝锐信息科技股份有限公司|微信|微信|腾讯科技(深圳)有限公司|搜狗输入法 11.7.0正式版|搜狗输入法 11.7.0正式版|Sogou.com|百度网盘|百度网盘|北京度友科技有限公司|百度翻译 1.5.2|百度翻译 1.5.2|Baidu Translate|网易云音乐|网易云音乐|网易公司|网易邮箱大师|网易邮箱大师|NetEase(Hangzhou) Network Co. Ltd.|腾讯QQ|腾讯QQ|腾讯科技(深圳)有限公司|腾讯会议|腾讯会议|腾讯科技(深圳)有限公司|迅雷|迅雷|迅雷网络技术有限公司|迅雷影音|迅雷影音|迅雷网络技术有限公司",34383a7a56706a43576f547a33314362786d62336762333741644e596743613564696b6939372f32442b4c2f432b544b364b4e2f624a6d3533686f346f5a66736b66323a7a486a546f547a33314362786d6f714e4537572b545644353353346f5a664954,333a5247584b526a794d314b3878364a7669432f564c7a457452636f3a7a6a3176364a7674566b6a636f,11458007086619113134,1670463045119309824
be4dbb04-b427-11ed-9d7c-005056b15a93,21b2a3be-f713-4157-8670-0f93504d125d,Microsoft Windows 7 企業版 ,6.1.7601,64-bit,StellarProtect|StellarProtect|TXOne,333a5247584b526a794d314b363779394c554c763852414a4b4e692b6a4e693549303a7a6a316a414c554c7638525a4e69384e69356e,333a5247584b526a794d314b363779394c554c767a3a7a6a316a414c554c767a,3758871081962362712,3830352650284611024
be4dbb04-b427-11ed-9d7c-005056b15a93,3dca825f-8869-4da8-a72c-e5464d165e27,Microsoft Windows Server 2016 Standard,10.0.14393,64 位,"Browser for SQL Server 2017|Browser for SQL Server 2017|Microsoft Corporation|FNCInstaller|FNCInstaller|Flexera Software, Inc.|Ipswitch TFTP Server|Ipswitch TFTP Server|Ipswitch, Inc.|Ipswitch WhatsUp Gold 2022|Ipswitch WhatsUp Gold 2022|Ipswitch, Inc.|Ipswitch WhatsUp Gold Chinese (China) 2022 Language Pack|Ipswitch WhatsUp Gold Chinese (China) 2022 Language Pack|Ipswitch|Ipswitch WhatsUp Log Management 2022|Ipswitch WhatsUp Log Management 2022|Ipswitch|Microsoft ODBC Driver 13 for SQL Server|Microsoft ODBC Driver 13 for SQL Server|Microsoft Corporation|Microsoft OLE DB Driver for SQL Server|Microsoft OLE DB Driver for SQL Server|Microsoft Corporation|Microsoft SQL Server 2012 Native Client |Microsoft SQL Server 2012 Native Client |Microsoft Corporation|Microsoft SQL Server 2017 (64-bit)|Microsoft SQL Server 2017 (64-bit)|Microsoft Corporation|Microsoft SQL Server 2017 RsFx Driver|Microsoft SQL Server 2017 RsFx Driver|Microsoft Corporation|Microsoft SQL Server 2017 Setup (English)|Microsoft SQL Server 2017 Setup (English)|Microsoft Corporation|Microsoft SQL Server 2017 T-SQL Language Service |Microsoft SQL Server 2017 T-SQL Language Service |Microsoft Corporation|Microsoft VSS Writer for SQL Server 2017|Microsoft VSS Writer for SQL Server 2017|Microsoft Corporation|Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.6161|Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.6161|Microsoft Corporation|Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.6161|Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.6161|Microsoft Corporation|Microsoft Visual C++ 2015 Redistributable (x64) - 14.0.23506|Microsoft Visual C++ 2015 Redistributable (x64) - 14.0.23506|Microsoft Corporation|Microsoft Visual C++ 2015 x64 Additional Runtime - 14.0.23506|Microsoft Visual C++ 2015 x64 Additional Runtime - 14.0.23506|Microsoft Corporation|Microsoft Visual C++ 2015 x64 Minimum Runtime - 14.0.23506|Microsoft Visual C++ 2015 x64 Minimum Runtime - 14.0.23506|Microsoft Corporation|Microsoft Visual C++ 2017 Redistributable (x86) - 14.15.26706|Microsoft Visual C++ 2017 Redistributable (x86) - 14.15.26706|Microsoft Corporation|Microsoft Visual C++ 2017 x86 Additional Runtime - 14.15.26706|Microsoft Visual C++ 2017 x86 Additional Runtime - 14.15.26706|Microsoft Corporation|Microsoft Visual C++ 2017 x86 Minimum Runtime - 14.15.26706|Microsoft Visual C++ 2017 x86 Minimum Runtime - 14.15.26706|Microsoft Corporation|SQL Server 2017 Batch Parser|SQL Server 2017 Batch Parser|Microsoft Corporation|SQL Server 2017 Common Files|SQL Server 2017 Common Files|Microsoft Corporation|SQL Server 2017 Connection Info|SQL Server 2017 Connection Info|Microsoft Corporation|SQL Server 2017 DMF|SQL Server 2017 DMF|Microsoft Corporation|SQL Server 2017 Database Engine Services|SQL Server 2017 Database Engine Services|Microsoft Corporation|SQL Server 2017 Database Engine Shared|SQL Server 2017 Database Engine Shared|Microsoft Corporation|SQL Server 2017 SQL Diagnostics|SQL Server 2017 SQL Diagnostics|Microsoft Corporation|SQL Server 2017 Shared Management Objects|SQL Server 2017 Shared Management Objects|Microsoft Corporation|SQL Server 2017 Shared Management Objects Extensions|SQL Server 2017 Shared Management Objects Extensions|Microsoft Corporation|SQL Server 2017 XEvent|SQL Server 2017 XEvent|Microsoft Corporation|TXOne StellarProtect (Legacy Mode)|TXOne StellarProtect (Legacy Mode)|TXOne Networks Inc.|VMware Tools|VMware Tools|VMware, Inc.|WhatsUp Gold 2022|WhatsUp Gold 2022|Ipswitch",39363a7a4865444c48484435747444356262443533334435747444355757443543434435797944353038636430386364443530384b30384b4435786978694435425a663a725238635338636b3842383638364c56,333a5247584b526a794d314b654179464b4d52454c456d4c7266463a7a6a31446351586d506646,939696378780776388,2142063406066354112
be4dbb04-b427-11ed-9d7c-005056b15a93,85268eaf-0f79-4a02-be3f-c8dacdd01a68,Microsoft Windows 7 专业版 ,6.1.7601,64-bit,StellarProtect|StellarProtect|TXOne,333a5247584b526a794d314b3637512f437370544c554c763852414a4b4e692b6a4e693549303a7a6a316a71437370544c554c7638525a4e69384e69356e,333a5247584b526a794d314b3637512f437370544c554c767a3a7a6a316a71437370544c554c767a,300184633469466488,9599468030886356960
be4dbb04-b427-11ed-9d7c-005056b15a93,b00cddf5-9798-4d27-904d-f5f9c31eafcd,Microsoft Windows Server 2016 Standard,10.0.14393,64 位,"Browser for SQL Server 2017|Browser for SQL Server 2017|Microsoft Corporation|FNCInstaller|FNCInstaller|Flexera Software, Inc.|Ipswitch TFTP Server|Ipswitch TFTP Server|Ipswitch, Inc.|Ipswitch WhatsUp Gold 2022|Ipswitch WhatsUp Gold 2022|Ipswitch, Inc.|Ipswitch WhatsUp Gold Chinese (China) 2022 Language Pack|Ipswitch WhatsUp Gold Chinese (China) 2022 Language Pack|Ipswitch|Ipswitch WhatsUp Log Management 2022|Ipswitch WhatsUp Log Management 2022|Ipswitch|Microsoft ODBC Driver 13 for SQL Server|Microsoft ODBC Driver 13 for SQL Server|Microsoft Corporation|Microsoft OLE DB Driver for SQL Server|Microsoft OLE DB Driver for SQL Server|Microsoft Corporation|Microsoft SQL Server 2012 Native Client |Microsoft SQL Server 2012 Native Client |Microsoft Corporation|Microsoft SQL Server 2017 (64-bit)|Microsoft SQL Server 2017 (64-bit)|Microsoft Corporation|Microsoft SQL Server 2017 RsFx Driver|Microsoft SQL Server 2017 RsFx Driver|Microsoft Corporation|Microsoft SQL Server 2017 Setup (English)|Microsoft SQL Server 2017 Setup (English)|Microsoft Corporation|Microsoft SQL Server 2017 T-SQL Language Service |Microsoft SQL Server 2017 T-SQL Language Service |Microsoft Corporation|Microsoft VSS Writer for SQL Server 2017|Microsoft VSS Writer for SQL Server 2017|Microsoft Corporation|Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.6161|Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.6161|Microsoft Corporation|Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.6161|Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.6161|Microsoft Corporation|Microsoft Visual C++ 2015 Redistributable (x64) - 14.0.23506|Microsoft Visual C++ 2015 Redistributable (x64) - 14.0.23506|Microsoft Corporation|Microsoft Visual C++ 2015 x64 Additional Runtime - 14.0.23506|Microsoft Visual C++ 2015 x64 Additional Runtime - 14.0.23506|Microsoft Corporation|Microsoft Visual C++ 2015 x64 Minimum Runtime - 14.0.23506|Microsoft Visual C++ 2015 x64 Minimum Runtime - 14.0.23506|Microsoft Corporation|Microsoft Visual C++ 2017 Redistributable (x86) - 14.15.26706|Microsoft Visual C++ 2017 Redistributable (x86) - 14.15.26706|Microsoft Corporation|Microsoft Visual C++ 2017 x86 Additional Runtime - 14.15.26706|Microsoft Visual C++ 2017 x86 Additional Runtime - 14.15.26706|Microsoft Corporation|Microsoft Visual C++ 2017 x86 Minimum Runtime - 14.15.26706|Microsoft Visual C++ 2017 x86 Minimum Runtime - 14.15.26706|Microsoft Corporation|SQL Server 2017 Batch Parser|SQL Server 2017 Batch Parser|Microsoft Corporation|SQL Server 2017 Common Files|SQL Server 2017 Common Files|Microsoft Corporation|SQL Server 2017 Connection Info|SQL Server 2017 Connection Info|Microsoft Corporation|SQL Server 2017 DMF|SQL Server 2017 DMF|Microsoft Corporation|SQL Server 2017 Database Engine Services|SQL Server 2017 Database Engine Services|Microsoft Corporation|SQL Server 2017 Database Engine Shared|SQL Server 2017 Database Engine Shared|Microsoft Corporation|SQL Server 2017 SQL Diagnostics|SQL Server 2017 SQL Diagnostics|Microsoft Corporation|SQL Server 2017 Shared Management Objects|SQL Server 2017 Shared Management Objects|Microsoft Corporation|SQL Server 2017 Shared Management Objects Extensions|SQL Server 2017 Shared Management Objects Extensions|Microsoft Corporation|SQL Server 2017 XEvent|SQL Server 2017 XEvent|Microsoft Corporation|TXOne StellarProtect (Legacy Mode)|TXOne StellarProtect (Legacy Mode)|TXOne Networks Inc.|VMware Tools|VMware Tools|VMware, Inc.|WhatsUp Gold 2022|WhatsUp Gold 2022|Ipswitch",39363a7a4865444c48484435747444356262443533334435747444355757443543434435797944353038636430386364443530384b30384b4435786978694435425a663a725238635338636b3842383638364c56,333a5247584b526a794d314b654179464b4d52454c456d4c7266463a7a6a31446351586d506646,939696378780776388,2142063406066354112
be4dbb04-b427-11ed-9d7c-005056b15a93,b2de8bd9-20e1-45b8-b554-258cf9ec418f,Microsoft Windows 11 家庭中文版,10.0.22621,64 位,"7-Zip 22.01 (x64)|7-Zip 22.01 (x64)|Igor Pavlov|AccessClient 4.4.1|AccessClient 4.4.1|New H3C Technologies Co., Ltd.|AnyDesk|AnyDesk|AnyDesk Software GmbH|Dell Digital Delivery Services|Dell Digital Delivery Services|Dell Inc.|Dell Mobile Connect Drivers|Dell Mobile Connect Drivers|Screenovate Technologies Ltd.|Dell Power Manager Service|Dell Power Manager Service|Dell Inc.|Dell SupportAssist|Dell SupportAssist|Dell Inc.|Dell SupportAssist Remediation|Dell SupportAssist Remediation|Dell Inc.|Dell Update - SupportAssist Update Plugin|Dell Update - SupportAssist Update Plugin|Dell Inc.|Dell Update for Windows Universal|Dell Update for Windows Universal|Dell Inc.|Google Chrome|Google Chrome|Google LLC|MindMaster(Build 9.1.2.177)|MindMaster(Build 9.1.2.177)|EdrawSoft Co.,Ltd.|NVAPI Monitor plugin for NvContainer|NVAPI Monitor plugin for NvContainer|NVIDIA Corporation|NVIDIA ABHub|NVIDIA ABHub|NVIDIA Corporation|NVIDIA Backend|NVIDIA Backend|NVIDIA Corporation|NVIDIA Container|NVIDIA Container|NVIDIA Corporation|NVIDIA GeForce Experience 3.19.0.107|NVIDIA GeForce Experience 3.19.0.107|NVIDIA Corporation|NVIDIA Install Application|NVIDIA Install Application|NVIDIA Corporation|NVIDIA LocalSystem Container|NVIDIA LocalSystem Container|NVIDIA Corporation|NVIDIA Message Bus for NvContainer|NVIDIA Message Bus for NvContainer|NVIDIA Corporation|NVIDIA NetworkService Container|NVIDIA NetworkService Container|NVIDIA Corporation|NVIDIA NodeJS|NVIDIA NodeJS|NVIDIA Corporation|NVIDIA SHIELD Streaming|NVIDIA SHIELD Streaming|NVIDIA Corporation|NVIDIA SHIELD Wireless Controller Driver|NVIDIA SHIELD Wireless Controller Driver|NVIDIA Corporation|NVIDIA Session Container|NVIDIA Session Container|NVIDIA Corporation|NVIDIA ShadowPlay 3.19.0.107|NVIDIA ShadowPlay 3.19.0.107|NVIDIA Corporation|NVIDIA Telemetry Client|NVIDIA Telemetry Client|NVIDIA Corporation|NVIDIA Telemetry Container|NVIDIA Telemetry Container|NVIDIA Corporation|NVIDIA TelemetryApi helper for NvContainer|NVIDIA TelemetryApi helper for NvContainer|NVIDIA Corporation|NVIDIA Update Core|NVIDIA Update Core|NVIDIA Corporation|NVIDIA User Container|NVIDIA User Container|NVIDIA Corporation|NVIDIA Virtual Audio 4.13.0.0|NVIDIA Virtual Audio 4.13.0.0|NVIDIA Corporation|NVIDIA Virtual Host Controller|NVIDIA Virtual Host Controller|NVIDIA Corporation|NVIDIA Watchdog Plugin for NvContainer|NVIDIA Watchdog Plugin for NvContainer|NVIDIA Corporation|NVIDIA 图形驱动程序 527.37|NVIDIA 图形驱动程序 527.37|NVIDIA Corporation|Nvidia Share|Nvidia Share|NVIDIA Corporation|Qualcomm 11ac Wireless LAN&Bluetooth Installer|Qualcomm 11ac Wireless LAN&Bluetooth Installer|Qualcomm|Qualcomm Atheros Bluetooth Installer (64)|Qualcomm Atheros Bluetooth Installer (64)|Qualcomm Atheros|Qualcomm Atheros Setup|Qualcomm Atheros Setup|Qualcomm|SmartByte Drivers and Services|SmartByte Drivers and Services|Rivet Networks|StellarProtect|StellarProtect|TXOne|TeamViewer|TeamViewer|TeamViewer|ToDesk|ToDesk|ToDesk Remote Desktop|Webex|Webex|Cisco Systems, Inc|WinRAR 6.11 (64-位)|WinRAR 6.11 (64-位)|win.rar GmbH|aurora 3.0.5|aurora 3.0.5|aurora, Inc.|卸载 橙瓜码字|卸载 橙瓜码字|chenggua|向日葵|向日葵|上海贝锐信息科技股份有限公司|微信|微信|腾讯科技(深圳)有限公司|搜狗输入法 11.7.0正式版|搜狗输入法 11.7.0正式版|Sogou.com|百度网盘|百度网盘|北京度友科技有限公司|百度翻译 1.5.2|百度翻译 1.5.2|Baidu Translate|网易云音乐|网易云音乐|网易公司|网易邮箱大师|网易邮箱大师|NetEase(Hangzhou) Network Co. Ltd.|腾讯QQ|腾讯QQ|腾讯科技(深圳)有限公司|腾讯会议|腾讯会议|腾讯科技(深圳)有限公司|迅雷|迅雷|迅雷网络技术有限公司|迅雷影音|迅雷影音|迅雷网络技术有限公司",39363a7a486a546f547a33314362786d6f714e4537572b54564435335559346f5a6649543a376a6133314362786d6f71657137,333a5247584b526a794d314b3878364a7669432f564c7a457452636f3a7a6a3176364a7674566b6a636f,11458007086619113151,1670463045119309824
be4dbb04-b427-11ed-9d7c-005056b15a93,fd89751e-46d0-4271-8497-0d39a5c5835a,Microsoft Windows 11 家庭中文版,10.0.22621,64 位,"7-Zip 22.01 (x64)|7-Zip 22.01 (x64)|Igor Pavlov|AccessClient 4.4.1|AccessClient 4.4.1|New H3C Technologies Co., Ltd.|AnyDesk|AnyDesk|AnyDesk Software GmbH|Dell Digital Delivery Services|Dell Digital Delivery Services|Dell Inc.|Dell Mobile Connect Drivers|Dell Mobile Connect Drivers|Screenovate Technologies Ltd.|Dell Power Manager Service|Dell Power Manager Service|Dell Inc.|Dell SupportAssist|Dell SupportAssist|Dell Inc.|Dell SupportAssist Remediation|Dell SupportAssist Remediation|Dell Inc.|Dell Update - SupportAssist Update Plugin|Dell Update - SupportAssist Update Plugin|Dell Inc.|Dell Update for Windows Universal|Dell Update for Windows Universal|Dell Inc.|Google Chrome|Google Chrome|Google LLC|MindMaster(Build 9.1.2.177)|MindMaster(Build 9.1.2.177)|EdrawSoft Co.,Ltd.|NVAPI Monitor plugin for NvContainer|NVAPI Monitor plugin for NvContainer|NVIDIA Corporation|NVIDIA ABHub|NVIDIA ABHub|NVIDIA Corporation|NVIDIA Backend|NVIDIA Backend|NVIDIA Corporation|NVIDIA Container|NVIDIA Container|NVIDIA Corporation|NVIDIA GeForce Experience 3.19.0.107|NVIDIA GeForce Experience 3.19.0.107|NVIDIA Corporation|NVIDIA Install Application|NVIDIA Install Application|NVIDIA Corporation|NVIDIA LocalSystem Container|NVIDIA LocalSystem Container|NVIDIA Corporation|NVIDIA Message Bus for NvContainer|NVIDIA Message Bus for NvContainer|NVIDIA Corporation|NVIDIA NetworkService Container|NVIDIA NetworkService Container|NVIDIA Corporation|NVIDIA NodeJS|NVIDIA NodeJS|NVIDIA Corporation|NVIDIA SHIELD Streaming|NVIDIA SHIELD Streaming|NVIDIA Corporation|NVIDIA SHIELD Wireless Controller Driver|NVIDIA SHIELD Wireless Controller Driver|NVIDIA Corporation|NVIDIA Session Container|NVIDIA Session Container|NVIDIA Corporation|NVIDIA ShadowPlay 3.19.0.107|NVIDIA ShadowPlay 3.19.0.107|NVIDIA Corporation|NVIDIA Telemetry Client|NVIDIA Telemetry Client|NVIDIA Corporation|NVIDIA Telemetry Container|NVIDIA Telemetry Container|NVIDIA Corporation|NVIDIA TelemetryApi helper for NvContainer|NVIDIA TelemetryApi helper for NvContainer|NVIDIA Corporation|NVIDIA Update Core|NVIDIA Update Core|NVIDIA Corporation|NVIDIA User Container|NVIDIA User Container|NVIDIA Corporation|NVIDIA Virtual Audio 4.13.0.0|NVIDIA Virtual Audio 4.13.0.0|NVIDIA Corporation|NVIDIA Virtual Host Controller|NVIDIA Virtual Host Controller|NVIDIA Corporation|NVIDIA Watchdog Plugin for NvContainer|NVIDIA Watchdog Plugin for NvContainer|NVIDIA Corporation|NVIDIA 图形驱动程序 511.69|NVIDIA 图形驱动程序 511.69|NVIDIA Corporation|NVIDIA 图形驱动程序 527.37|NVIDIA 图形驱动程序 527.37|NVIDIA Corporation|Nvidia Share|Nvidia Share|NVIDIA Corporation|Qualcomm 11ac Wireless LAN&Bluetooth Installer|Qualcomm 11ac Wireless LAN&Bluetooth Installer|Qualcomm|Qualcomm Atheros Bluetooth Installer (64)|Qualcomm Atheros Bluetooth Installer (64)|Qualcomm Atheros|Qualcomm Atheros Setup|Qualcomm Atheros Setup|Qualcomm|SmartByte Drivers and Services|SmartByte Drivers and Services|Rivet Networks|StellarProtect|StellarProtect|TXOne|TeamViewer|TeamViewer|TeamViewer|ToDesk|ToDesk|ToDesk Remote Desktop|VMware Workstation|VMware Workstation|VMware, Inc.|WinRAR 6.11 (64-位)|WinRAR 6.11 (64-位)|win.rar GmbH|aurora 3.0.5|aurora 3.0.5|aurora, Inc.|卸载 橙瓜码字|卸载 橙瓜码字|chenggua|向日葵|向日葵|上海贝锐信息科技股份有限公司|微信|微信|腾讯科技(深圳)有限公司|搜狗输入法 11.7.0正式版|搜狗输入法 11.7.0正式版|Sogou.com|百度网盘|百度网盘|北京度友科技有限公司|百度翻译 1.5.2|百度翻译 1.5.2|Baidu Translate|网易云音乐|网易云音乐|网易公司|网易邮箱大师|网易邮箱大师|NetEase(Hangzhou) Network Co. Ltd.|腾讯QQ|腾讯QQ|腾讯科技(深圳)有限公司|腾讯会议|腾讯会议|腾讯科技(深圳)有限公司|迅雷|迅雷|迅雷网络技术有限公司|迅雷影音|迅雷影音|迅雷网络技术有限公司",39363a7a486a546f547a33314362786d6f714e4537576d6e2b545644353353346f5a6649543a376a6133314362786d6f715258,333a5247584b526a794d314b3878364a7669432f564c7a457452636f3a7a6a3176364a7674566b6a636f,11458007086350677678,1670463045119309824
