serverguid,guid,cpuname,oscaption,osversion,cpucaption,osarchitecture,cpuarchitecture,apps,fuzzy_hash,fuzzy_hash_without_apps
07886108-c255-11ed-80fa-00155d006f02,1e80fdc3-d7da-40a6-a9a0-5efbdb8a99c9,,Microsoft Windows 10 專業版,10.0.18363,,64 位元,,PL-2303 USB-to-Serial Driver|PL-2303 USB-to-Serial Driver|Prolific Technology Inc.|Intel® 晶片組裝置軟體|Intel® 晶片組裝置軟體|Intel(R) Corporation|StellarProtect|StellarProtect|TXOne|搜狗五笔输入法 3.1正式版|搜狗五笔输入法 3.1正式版|Sogou.com|Serial Port Utility 版本 2.6.5|Serial Port Utility 版本 2.6.5|Darkwood Studio|Intel(R) Chipset Device Software|Intel(R) Chipset Device Software|Intel Corporation,31323a5778697757387451414a7451414e6873686573685742336342704357667444664d39735771487a6b71487a453a577848567a564e3635554233634273655132576b6b6b45,333a6b4f596a794d314b3876632b564c2f615a774c6a4f5a2b6e3a576a3168632b5637615a774c615a2b
07886108-c255-11ed-80fa-00155d006f02,3c861a39-275d-41e4-8a59-1b52688b995e,,Microsoft Windows 10 專業版,10.0.18363,,64 位元,,Intel(R) Chipset Device Software|Intel(R) Chipset Device Software|Intel Corporation|PL-2303 USB-to-Serial Driver|PL-2303 USB-to-Serial Driver|Prolific Technology Inc.|Intel® 晶片組裝置軟體|Intel® 晶片組裝置軟體|Intel(R) Corporation|USR-VCOM|USR-VCOM|撳鰍衄昜薊厙撮扲衄癹鼠侗|搜狗五笔输入法 3.1正式版|搜狗五笔输入法 3.1正式版|Sogou.com|StellarProtect|StellarProtect|TXOne,31323a57786977576371487a6b71487a577451414a7451414e68736865736857456357444e33576c4270437433773a57785a6b6b6b65567a564e3635557133714273743377,333a6b4f596a794d314b3876632b564c2f615a774c6a4f5a2b6e3a576a3168632b5637615a774c615a2b
07886108-c255-11ed-80fa-00155d006f02,52d6bd1a-1109-4f88-b1ca-2fd2145a87a0,,Microsoft Windows 10 專業版,10.0.18363,,64 位元,,"PL-2303 USB-to-Serial Driver|PL-2303 USB-to-Serial Driver|Prolific Technology Inc.|VISA Shared Components 5.6.0 (64-Bit)|VISA Shared Components 5.6.0 (64-Bit)|IVI Foundation|IVI.NET Shared Components 1.1.2 for .NET 2.0|IVI.NET Shared Components 1.1.2 for .NET 2.0|IVI Foundation|USR-VCOM|USR-VCOM|撳鰍衄昜薊厙撮扲衄癹鼠侗|StellarProtect|StellarProtect|TXOne|Keysight IO Libraries Suite 17.2|Keysight IO Libraries Suite 17.2|Keysight Technologies|Keysight LXI Mdns Responder 64bit|Keysight LXI Mdns Responder 64bit|Keysight Technologies|Intel® 晶片組裝置軟體|Intel® 晶片組裝置軟體|Intel(R) Corporation|IVI Shared Component 64-bit|IVI Shared Component 64-bit|IVI Foundation Inc.|VISA.NET Shared Components 5.6.0 (64-Bit)|VISA.NET Shared Components 5.6.0 (64-Bit)|IVI Foundation|Keysight IO Libraries Suite 64-bit|Keysight IO Libraries Suite 64-bit|Keysight Technologies|Keysight Communications Fabric|Keysight Communications Fabric|KeysightTechnologies, Inc.|Intel(R) Chipset Device Software|Intel(R) Chipset Device Software|Intel Corporation|IVI Shared Components 2.3|IVI Shared Components 2.3|IVI Foundation|搜狗五笔输入法 3.1正式版|搜狗五笔输入法 3.1正式版|Sogou.com",32343a577848567a564e4431316859455969334a33354f3941584439415844704c4c63743555312f616f314f3941663941667064526452626b6b6b58566245795662543a577a354e44313168594559473335522b326f3152432f6661626e627a427353,333a6b4f596a794d314b3876632b564c2f615a774c6a4f5a2b6e3a576a3168632b5637615a774c615a2b
07886108-c255-11ed-80fa-00155d006f02,55bf28ea-d92f-4775-9fec-63c61140fedf,,Microsoft Windows 10 专业版,10.0.19045,,64 位,,StellarProtect|StellarProtect|TXOne,333a6b4f596a794d314b3876723242642f43734168564c426a4252734b4e692b6a4e693549303a576a3168693943732b56314c5a4e69384e69356e,333a6b4f596a794d314b3876723242642f43734168564c426a2b3a576a3168693943732b563136
07886108-c255-11ed-80fa-00155d006f02,616ad217-2204-4459-89fb-8b9d875095c3,,Microsoft Windows 10 專業版,10.0.18363,,64 位元,,Intel(R) Chipset Device Software|Intel(R) Chipset Device Software|Intel Corporation|StellarProtect|StellarProtect|TXOne|Intel® 晶片組裝置軟體|Intel® 晶片組裝置軟體|Intel(R) Corporation|搜狗五笔输入法 3.1正式版|搜狗五笔输入法 3.1正式版|Sogou.com|PL-2303 USB-to-Serial Driver|PL-2303 USB-to-Serial Driver|Prolific Technology Inc.|USR-VCOM|USR-VCOM|撳鰍衄昜薊厙撮扲衄癹鼠侗,31323a57786977576371487a6b71487a6e335a677368657368574156427043677451414a7451414e7a6357444e33753a57785a6b6b6b6e3337355543427338567a564e5a3375,333a6b4f596a794d314b3876632b564c2f615a774c6a4f5a2b6e3a576a3168632b5637615a774c615a2b
07886108-c255-11ed-80fa-00155d006f02,624242d6-4e38-4123-99b4-a118aad60514,,Microsoft Windows 10 專業版,10.0.18363,,64 位元,,Intel® 晶片組裝置軟體|Intel® 晶片組裝置軟體|Intel(R) Corporation|搜狗五笔输入法 3.1正式版|搜狗五笔输入法 3.1正式版|Sogou.com|Serial Port Utility 版本 2.6.5|Serial Port Utility 版本 2.6.5|Darkwood Studio|PL-2303 USB-to-Serial Driver|PL-2303 USB-to-Serial Driver|Prolific Technology Inc.|StellarProtect|StellarProtect|TXOne|Intel(R) Chipset Device Software|Intel(R) Chipset Device Software|Intel Corporation|Dell SupportAssist|Dell SupportAssist|Dell Inc.,31323a577869775759736865736857415642704357667444664d39707451414a7451414e73335a6b71487a6b71487a53633963593a57784d3555434273655152567a564e7333656b6b6b5363396359,333a6b4f596a794d314b3876632b564c2f615a774c6a4f5a2b6e3a576a3168632b5637615a774c615a2b
07886108-c255-11ed-80fa-00155d006f02,bbd5a782-0e75-4cdc-a3ae-091fe5434ed6,,Microsoft Windows 10 專業版,10.0.18363,,64 位元,,Serial Port Utility 版本 2.6.5|Serial Port Utility 版本 2.6.5|Darkwood Studio|PL-2303 USB-to-Serial Driver|PL-2303 USB-to-Serial Driver|Prolific Technology Inc.|StellarProtect|StellarProtect|TXOne|USR-VCOM|USR-VCOM|撳鰍衄昜薊厙撮扲衄癹鼠侗,363a576a3168632b5637615a774c615a6d4c6c664d67395846426c664d673239705a70743558534138597435585341544a526c304e69384e6935646357444e6435753a577869775753667444664d39707451414a7451414e7333696357444e3375,333a6b4f596a794d314b3876632b564c2f615a774c6a4f5a2b6e3a576a3168632b5637615a774c615a2b
07886108-c255-11ed-80fa-00155d006f02,ec36d44a-cafa-4306-b77d-95f8376c571c,,Microsoft Windows 10 專業版,10.0.18363,,64 位元,,USR-VCOM|USR-VCOM|撳鰍衄昜薊厙撮扲衄癹鼠侗|搜狗五笔输入法 3.1正式版|搜狗五笔输入法 3.1正式版|Sogou.com|StellarProtect|StellarProtect|TXOne|Intel® 晶片組裝置軟體|Intel® 晶片組裝置軟體|Intel(R) Corporation|Intel(R) Chipset Device Software|Intel(R) Chipset Device Software|Intel Corporation|Modbus Slave 6.1.2|Modbus Slave 6.1.2|Witte Software|Serial Port Utility 版本 2.6.5|Serial Port Utility 版本 2.6.5|Darkwood Studio|PL-2303 USB-to-Serial Driver|PL-2303 USB-to-Serial Driver|Prolific Technology Inc.,31323a57786977574d6357444e33576c42704374335a677368657368575571487a6b71487a4f414f35414f525444667444664d39707451414a7451414e423a577848337142737433373555556b6b6b4f5635565a785152567a564e42,333a6b4f596a794d314b3876632b564c2f615a774c6a4f5a2b6e3a576a3168632b5637615a774c615a2b
07886108-c255-11ed-80fa-00155d006f02,fab970fa-84fa-4e0a-b55a-5107c561819e,,Microsoft Windows 10 專業版,10.0.18363,,64 位元,,"Keysight Communications Fabric|Keysight Communications Fabric|KeysightTechnologies, Inc.|USR-VCOM|USR-VCOM|撳鰍衄昜薊厙撮扲衄癹鼠侗|Keysight IO Libraries Suite 17.2|Keysight IO Libraries Suite 17.2|Keysight Technologies|IVI.NET Shared Components 1.1.2 for .NET 2.0|IVI.NET Shared Components 1.1.2 for .NET 2.0|IVI Foundation|Keysight LXI Mdns Responder 64bit|Keysight LXI Mdns Responder 64bit|Keysight Technologies|VISA.NET Shared Components 5.6.0 (64-Bit)|VISA.NET Shared Components 5.6.0 (64-Bit)|IVI Foundation|IVI Shared Components 2.3|IVI Shared Components 2.3|IVI Foundation|搜狗五笔输入法 3.1正式版|搜狗五笔输入法 3.1正式版|Sogou.com|VISA Shared Components 5.6.0 (64-Bit)|VISA Shared Components 5.6.0 (64-Bit)|IVI Foundation|Intel(R) Chipset Device Software|Intel(R) Chipset Device Software|Intel Corporation|IVI Shared Component 64-bit|IVI Shared Component 64-bit|IVI Foundation Inc.|Intel® 晶片組裝置軟體|Intel® 晶片組裝置軟體|Intel(R) Corporation|Keysight IO Libraries Suite 64-bit|Keysight IO Libraries Suite 64-bit|Keysight Technologies|StellarProtect|StellarProtect|TXOne",32343a57785064526452743375394158443941584463745945594f4c4c6d6f3139566245795662454b4273785731314d6b6b6b582f6d3555323941663941663033773a574866742b6f594559726f312f626e627a427363313152434d3377,333a6b4f596a794d314b3876632b564c2f615a774c6a4f5a2b6e3a576a3168632b5637615a774c615a2b
