serverguid,guid,oscaption,osversion,osarchitecture,apps,fuzzy_hash,fuzzy_hash_without_apps,sim_hash,sim_hash_without_apps
e96a5f38-4e17-11ee-baf4-005056bf71a3,6ff7f4a0-8cd8-4e80-ac67-3c976b81eda9,Microsoft Windows 7 Professional ,6.1.7601,64-bit,"7-Zip 18.06|7-Zip 18.06|Igor Pavlov|Adobe Reader XI (11.0.10)|Adobe Reader XI (11.0.10)|Adobe Systems Incorporated|FileZilla Client 3.40.0|FileZilla Client 3.40.0|Tim Kosse|Google Chrome|Google Chrome|Google, Inc.|Google Endpoint Verification|Google Endpoint Verification|Google LLC|Google Legacy Browser Support|Google Legacy Browser Support|Google Inc|Google Update Helper|Google Update Helper|Google Inc.|Nmap 7.70|Nmap 7.70|Nmap Project|Notepad++ (32-bit x86)|Notepad++ (32-bit x86)|Notepad++ Team|Npcap 0.99-r2|Npcap 0.99-r2|Nmap Project|PuTTY release 0.70|PuTTY release 0.70|Simon Tatham|StellarProtect|StellarProtect|TXOne|VMware Tools|VMware Tools|VMware, Inc.|WinPcap 4.1.3|WinPcap 4.1.3|Riverbed Technology, Inc.|WinSCP 5.13.7|WinSCP 5.13.7|Martin Prikryl|Wireshark 2.6.6 32-bit|Wireshark 2.6.6 32-bit|The Wireshark developer community, https://www.wireshark.org|mRemoteNG|mRemoteNG|Next Generation Software",32343a7a787551336f2f5a5a5a386f49586b587a394a68304a3533414f5775486a7442624e5357656470413a7a415133586f4771763033414f5775484a42624e53575541,333a5247584b526a794d314b3650586b4c51676a347a3a7a6a3158303067737a,12824345580891145887,2107167239163995616
e96a5f38-4e17-11ee-baf4-005056bf71a3,7f51f865-4f78-44d9-8d9e-117225fc16e6,Microsoft Windows 10 Pro,10.0.18362,64-bit,"Google Chrome|Google Chrome|Google LLC|Google Update Helper|Google Update Helper|Google LLC|Notepad++ (64-bit x64)|Notepad++ (64-bit x64)|Notepad++ Team|StellarProtect|StellarProtect|TXOne|VMware Tools|VMware Tools|VMware, Inc.",363a7a6a31684e59445234615861717246524c564b4c55524c564b4c535a2f6d572f6d57684e69384e6935744f57703a7a78657a714f7739576a4633414f5770,333a5247584b526a794d314b3876624a6230773a7a6a31684e5977,15400191214691746323,10747888067649271536
e96a5f38-4e17-11ee-baf4-005056bf71a3,f23969cc-4ff4-4a0d-aa1e-ac985d62a91f,Microsoft Windows 7 Professional ,6.1.7601,64-bit,"7-Zip 18.06|7-Zip 18.06|Igor Pavlov|Adobe Reader XI (11.0.10)|Adobe Reader XI (11.0.10)|Adobe Systems Incorporated|FileZilla Client 3.40.0|FileZilla Client 3.40.0|Tim Kosse|Google Chrome|Google Chrome|Google, Inc.|Google Endpoint Verification|Google Endpoint Verification|Google LLC|Google Legacy Browser Support|Google Legacy Browser Support|Google Inc|Google Update Helper|Google Update Helper|Google Inc.|Microsoft .NET Framework 4 Client Profile|Microsoft .NET Framework 4 Client Profile|Microsoft Corporation|Microsoft .NET Framework 4 Extended|Microsoft .NET Framework 4 Extended|Microsoft Corporation|Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.6161|Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.6161|Microsoft Corporation|Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.6161|Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.6161|Microsoft Corporation|Microsoft Visual C++ 2013 Redistributable (x86) - 12.0.21005|Microsoft Visual C++ 2013 Redistributable (x86) - 12.0.21005|Microsoft Corporation|Microsoft Visual C++ 2013 x86 Additional Runtime - 12.0.21005|Microsoft Visual C++ 2013 x86 Additional Runtime - 12.0.21005|Microsoft Corporation|Microsoft Visual C++ 2013 x86 Minimum Runtime - 12.0.21005|Microsoft Visual C++ 2013 x86 Minimum Runtime - 12.0.21005|Microsoft Corporation|Microsoft Visual C++ 2017 Redistributable (x64) - 14.12.25810|Microsoft Visual C++ 2017 Redistributable (x64) - 14.12.25810|Microsoft Corporation|Microsoft Visual C++ 2017 Redistributable (x86) - 14.12.25810|Microsoft Visual C++ 2017 Redistributable (x86) - 14.12.25810|Microsoft Corporation|Microsoft Visual C++ 2017 x64 Additional Runtime - 14.12.25810|Microsoft Visual C++ 2017 x64 Additional Runtime - 14.12.25810|Microsoft Corporation|Microsoft Visual C++ 2017 x64 Minimum Runtime - 14.12.25810|Microsoft Visual C++ 2017 x64 Minimum Runtime - 14.12.25810|Microsoft Corporation|Microsoft Visual C++ 2017 x86 Additional Runtime - 14.12.25810|Microsoft Visual C++ 2017 x86 Additional Runtime - 14.12.25810|Microsoft Corporation|Microsoft Visual C++ 2017 x86 Minimum Runtime - 14.12.25810|Microsoft Visual C++ 2017 x86 Minimum Runtime - 14.12.25810|Microsoft Corporation|Nmap 7.70|Nmap 7.70|Nmap Project|Notepad++ (32-bit x86)|Notepad++ (32-bit x86)|Notepad++ Team|Npcap 0.99-r2|Npcap 0.99-r2|Nmap Project|PuTTY release 0.70|PuTTY release 0.70|Simon Tatham|TXOne StellarProtect (Legacy Mode)|TXOne StellarProtect (Legacy Mode)|TXOne Networks Inc.|VMware Tools|VMware Tools|VMware, Inc.|WinPcap 4.1.3|WinPcap 4.1.3|Riverbed Technology, Inc.|WinSCP 5.13.7|WinSCP 5.13.7|Martin Prikryl|Wireshark 2.6.6 32-bit|Wireshark 2.6.6 32-bit|The Wireshark developer community, https://www.wireshark.org|mRemoteNG|mRemoteNG|Next Generation Software",34383a7a415133586f477132474744356464443550633863584b6750633863584b674435506338594b67506338594b6744355072715a5072715a44355048525a5048653a7a466f47713247474435646444353038636430386364443530384b30384b4445,333a5247584b526a794d314b3650586b4c51676a347a3a7a6a3158303067737a,146996788838707845,2107167239163995616
