serverguid,guid,cpuname,oscaption,osversion,cpucaption,osarchitecture,cpuarchitecture,corr_fuzzy_hash,corr_fuzzy_hash_without_apps
00eb13f0-bd54-11ed-9290-00155da02f20,e9ec4bf4-44cc-48a5-b0dd-62f55ea3cfb3,,Microsoft Windows 10 企業版 LTSC,10.0.17763,,64 位元,,0,22
00eb13f0-bd54-11ed-9290-00155da02f20,ecb697e6-0224-48eb-a444-87ee04c9de4a,,Microsoft Windows 10 企業版 LTSC,10.0.17763,,64 位元,,0,22
00eb13f0-bd54-11ed-9290-00155da02f20,f9a67968-5dac-4f2f-a067-c82df745d933,,Microsoft Windows 10 企業版 LTSC,10.0.17763,,64 位元,,0,22
00eb13f0-bd54-11ed-9290-00155da02f20,02031215-83d1-49dc-bcd0-786341a6bf8a,,Microsoft Windows 7 專業版 ,6.1.7601,,64-bit,,0,21
00eb13f0-bd54-11ed-9290-00155da02f20,0ce2e0f7-2ebb-4950-9f28-694dba4aefd6,,Microsoft Windows 7 專業版 ,6.1.7601,,64-bit,,0,21
00eb13f0-bd54-11ed-9290-00155da02f20,12428a8c-cc52-4330-baad-abc7fca9976a,,Microsoft Windows 7 專業版 ,6.1.7601,,64-bit,,0,21
00eb13f0-bd54-11ed-9290-00155da02f20,35f40273-9717-47ed-b4a1-88064ca50159,,Microsoft Windows 7 專業版 ,6.1.7601,,64-bit,,0,21
00eb13f0-bd54-11ed-9290-00155da02f20,94f6e819-bb59-4817-94b1-14224e218b3e,,Microsoft Windows 7 專業版 ,6.1.7601,,64-bit,,0,21
00eb13f0-bd54-11ed-9290-00155da02f20,9bf2958c-ebf0-478c-b71a-ff0ffacb63e6,,Microsoft Windows 7 專業版 ,6.1.7601,,64-bit,,0,21
00eb13f0-bd54-11ed-9290-00155da02f20,b31b8441-3746-4bf4-bab0-a2c9c1c6ca28,,Microsoft Windows 7 專業版 ,6.1.7601,,64-bit,,0,21
00eb13f0-bd54-11ed-9290-00155da02f20,bcc2379e-ddfd-45ef-9a52-df7f6ac858ac,,Microsoft Windows 7 專業版 ,6.1.7601,,64-bit,,0,21
00eb13f0-bd54-11ed-9290-00155da02f20,fd4c4129-f060-41a2-9b10-57fb67cc5af3,,Microsoft Windows 7 專業版 ,6.1.7601,,64-bit,,0,21
